Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt,Số_âm_HV,Tần_suất_rank
㿜,㿜,biě,tất,1,
㿝,㿝,xiāng,hương,1,
㿞,㿞,mào,~mạo,1,
㿟,㿟,bái,~bạch,1,
㿠,㿠,huàng,quang,1,
㿡,㿡,lèi,luy,1,
㿢,㿢,yào,~diệu,1,
㿣,㿣,hē,hạt,1,
㿤,㿤,chǔn,xuẩn,1,
㿥,㿥,hé,~hà,1,
㿦,㿦,nìng,~nính,1,
㿧,㿧,chóu,~trù,1,
㿨,㿨,lì,lịch,1,
㿩,㿩,tǎng,~thẳng,1,
㿪,㿪,huán,~hoàn,1,
㿫,㿫,bì,bí,1,
㿬,㿬,bā,ba,1,
㿭,㿭,chè,sách,1,
㿮,㿮,yàng,~dạng,1,
㿯,㿯,dá,~đạt,1,
㿰,㿰,áo,~ngao,1,
㿱,㿱,xué,~hạc,1,
㿲,㿲,hú,hộc,1,
㿴,㿴,dā,đáp,1,
㿵,㿵,rǎn,~nhiễm,1,
㿶,㿶,bāng,~bang,1,
㿷,㿷,cuó,~ta,1,
㿸,㿸,wǎn,vãn,1,
㿹,㿹,tà,thát,1,
㿺,㿺,báo,~bạc,1,
㿻,㿻,gān,can,1,
㿼,㿼,yán,~diêm,1,
㿽,㿽,xī,~hi,1,
㿾,㿾,zhù,trữ,1,
㿿,㿿,yǎ,ngoã,1,
䀀,䀀,fàn,~phiến,1,
䀁,䀁,yòu,~dứu,1,
䀂,䀂,ān,~am,1,
䀃,䀃,tuí,đồi,1,
䀄,䀄,méng,mông,1,
䀅,䀅,shè,~nhiếp,1,
䀆,䀆,jìn,tận,1,
䀇,䀇,gǔ,cổ,1,
䀈,䀈,jì,~kế,1,
䀉,䀉,qiáo,kiều,1,
䀊,䀊,jiǎo,~kiểu,1,
䀋,䀋,yán,~diêm,1,
䀍,䀍,kàn,khám,1,
䀎,䀎,miǎn,~miễn,1,
䀏,䀏,xuàn,~huyễn,1,
䀐,䀐,shān,~xăm,1,
䀑,䀑,wò,~oát,1,
䀒,䀒,qiān,thiên,1,
䀓,䀓,huàn,hoán,1,
䀔,䀔,rèn,~nhận,1,
䀕,䀕,zhèn,~trẫm,1,
䀖,䀖,tiān,thiên,1,
䀗,䀗,jué,quyết,1,
䀘,䀘,xié,~hài,1,
䀙,䀙,qì,thế,1,
䀚,䀚,áng,ngang,1,
䀛,䀛,mèi,~muội,1,
䀜,䀜,gǔ,~cổ,1,
䀞,䀞,tāo,thao,1,
䀟,䀟,fán,~phiền,1,
䀠,䀠,jù,cù,1,
䀡,䀡,chàn,xem,1,
䀢,䀢,shùn,~thuấn,1,
䀣,䀣,bì,bí,1,
䀤,䀤,mào,mậu,1,
䀥,䀥,shuò,thước,1,
䀦,䀦,gǔ,cổ,1,
䀧,䀧,hǒng,hòng,1,
䀨,䀨,huà,~thoại,1,
䀩,䀩,luò,nhác,1,
䀪,䀪,háng,hàng,1,
䀫,䀫,jiá,giáp,1,
䀬,䀬,quán,~quyền,1,
䀭,䀭,gāi,cai,1,
䀮,䀮,huāng,~hoang,1,
䀯,䀯,bǔ,~vúc,1,
䀰,䀰,gǔ,~cổ,1,
䀱,䀱,fēng,phong,1,
䀲,䀲,mù,mục,1,
䀳,䀳,ài,~ái,1,
䀴,䀴,yǐng,~nhánh,1,
䀵,䀵,shùn,~thuấn,1,
䀶,䀶,liàng,lượng,1,
䀷,䀷,jié,kiếp,1,
䀸,䀸,chì,~xích,1,
䀹,䀹,jié,~kiếp,1,
䀺,䀺,chōu,thu,1,
䀻,䀻,pìng,sánh,1,
䀼,䀼,chēn,~trân,1,
䀽,䀽,yán,~diêm,1,
䀾,䀾,dǔ,đảo,1,
䀿,䀿,dì,~di,1,
䁁,䁁,liàng,lượng,1,
䁂,䁂,xiàn,~hiển,1,
䁃,䁃,biāo,~tiêu,1,
䁄,䁄,xìng,~hành,1,
䁅,䁅,měng,mãnh,1,
䁆,䁆,yè,~diệp,1,
䁇,䁇,mì,~mịch,1,
䁈,䁈,qì,~thế,1,
䁉,䁉,qì,~thế,1,
䁊,䁊,wò,~oát,1,
䁋,䁋,xiè,~tiết,1,
䁌,䁌,yù,~duật,1,
䁍,䁍,qià,kháp,1,
䁎,䁎,chéng,~dềnh,1,
䁏,䁏,yǎo,~yểu,1,
䁐,䁐,yīng,~anh,1,
䁑,䁑,yáng,~dương,1,
䁒,䁒,jí,~tập,1,
䁓,䁓,zōng,~tông,1,
䁔,䁔,xuān,huyên,1,
䁕,䁕,mín,~mân,1,
䁖,䁖,lōu,lâu,1,
䁗,䁗,kǎi,khải,1,
䁘,䁘,yǎo,~yểu,1,
䁙,䁙,yǎn,~nhản,1,
䁚,䁚,sǔn,~tốn,1,
䁛,䁛,guì,coi,1,
䁜,䁜,huàng,~hoảng,1,
䁝,䁝,yíng,~doanh,1,
䁞,䁞,shěng,tỉnh,1,
䁟,䁟,chá,tra,1,
䁠,䁠,lián,liêm,1,
䁢,䁢,xuán,tuyền,1,
䁣,䁣,chuán,tuyền,1,
䁤,䁤,chè,~triệt,1,
䁥,䁥,nì,nật,1,
䁦,䁦,qù,~khứ,1,
䁧,䁧,miáo,miêu,1,
䁨,䁨,huò,~mù,1,
䁩,䁩,yú,~du,1,
䁪,𥇢,zhǎn,~triển,1,
䁫,䁫,hú,~hồ,1,
䁬,䁬,céng,tằng,1,
䁭,䁭,biāo,~tiêu,1,
䁮,䁮,qián,tiềm,1,
䁯,䁯,xī,kháp,1,
䁰,䁰,jiǎng,~tưởng,1,
䁱,䁱,kōu,~khu,1,
䁲,䁲,mái,mai,1,
䁳,䁳,mǎng,~mãng,1,
䁴,䁴,zhǎn,~triển,1,
䁵,䁵,biǎn,~biển,1,
䁶,䁶,jī,~kích,1,
䁷,䁷,jué,~quyết,1,
䁸,䁸,náng,~nang,1,
䁹,䁹,bì,~bí,1,
䁺,䁺,shì,~thị,1,
䁻,䀥,shuò,thước,1,
䁼,䁼,mò,mạch,1,
䁽,䁽,liè,xợp,1,
䁾,䁾,miè,~miệt,1,
䁿,䁿,mò,mạch,1,
䂀,䂀,xī,~ngươi,1,
䂁,䂁,chán,~sàm,1,
䂂,䂂,qú,cù,1,
䂃,䂃,jiào,chiếu,1,
䂄,䂄,huò,~mù,1,
䂅,䂅,xiān,~tiêm,1,
䂆,䂆,xù,~tuất,1,
䂇,䂇,niǔ,~nữu,1,
䂈,䂈,tóng,đồng,1,
䂉,䂉,hóu,~hầu,1,
䂊,䂊,yù,~duật,1,
䂌,䂌,chōng,~sung,1,
䂍,䂍,bó,bạc,1,
䂎,䂎,zuǎn,~toản,1,
䂏,䂏,diāo,điêu,1,
䂐,䂐,zhuō,~trác,1,
䂑,䂑,jī,~tê,1,
䂒,䂒,qià,~kháp,1,
䂓,䂓,guī,quy,1,
䂔,䂔,xìng,~hành,1,
䂕,䂕,huì,~hối,1,
䂖,䂖,shí,thạch,1,
䂗,䂗,kū,~khốt,1,
䂘,䂘,ài,nại,1,
䂚,䂚,yáo,~diêu,1,
䂛,䂛,yú,~du,1,
䂜,䂜,bàng,~bàng,1,
䂝,䂝,jié,~kiếp,1,
䂞,䂞,zhè,~chá,1,
䂟,䂟,jiā,gia,1,
䂠,䂠,shǐ,~sử,1,
䂡,䂡,dǐ,để,1,
䂢,䂢,dǒng,đổng,1,
䂣,䂣,cí,~từ,1,
䂤,䂤,fù,phụ,1,
䂥,䂥,mín,~mân,1,
䂦,䂦,zhēn,chân,1,
䂧,䂧,zhěn,~chẩn,1,
䂩,䂩,yàn,~nghẽn,1,
䂪,䂪,qiǎo,~khảo,1,
䂫,䂫,hāng,~bổn,1,
䂬,䂬,gǒng,củng,1,
䂭,䂭,qiāo,~khao,1,
䂮,䂮,lüè,lược,1,
䂯,䂯,guài,quái,1,
䂰,䂰,là,~lạp,1,
䂱,䂱,ruì,~nhuế,1,
䂲,䂲,fǎ,~pháp,1,
䂳,䂳,cuǒ,sở,1,
䂴,䂴,yán,~nghiên,1,
䂵,䂵,gōng,cung,1,
䂶,䂶,jié,kiếp,1,
䂷,䂷,guāi,quai,1,
䂸,䂸,guó,~quốc,1,
䂹,䂹,suǒ,~tỏa,1,
䂺,䂺,wǒ,oả,1,
䂻,䂻,zhèng,~chứng,1,
䂼,䂼,niè,~nghiệt,1,
䂽,䂽,diào,~điếu,1,
䂾,䂾,lǎi,~lai,1,
䂿,䂿,tà,đạp,1,
䃀,䃀,cuì,~thuý,1,
䃁,䃁,yā,nha,1,
䃂,䃂,gǔn,cổn,1,
䃅,䃅,dī,~sạn,1,
䃇,䃇,mián,miên,1,
䃈,䃈,jiē,giai,1,
䃉,䃉,mín,~mân,1,
䃊,䃊,jǔ,~trở,1,
䃋,䃋,yú,~du,1,
䃌,䃌,zhēn,chân,1,
䃍,䃍,zhào,~triệu,1,
䃎,䃎,zhà,~trá,1,
䃏,䃏,xīng,~tinh,1,
䃑,䃑,bān,ban,1,
䃒,䃒,hé,~hà,1,
䃓,䃓,gòu,~cấu,1,
䃔,䃔,hóng,hồng,1,
䃕,䃕,láo,~lao,1,
䃖,䃖,wù,~ổ,1,
䃗,䃗,bō,~bát,1,
䃘,䃘,kēng,~khanh,1,
䃙,䃙,lù,lục,1,
䃚,䃚,cù,~xúc,1,
䃛,䃛,lián,~liêm,1,
䃜,䃜,yī,~y,1,
䃝,䃝,qiào,~tiếu,1,
䃞,䃞,shú,thục,1,
䃟,䃟,sǎn,tản,1,
䃠,䃠,xuàn,tuyền,1,
䃡,䃡,jīn,châm,1,
䃢,䃢,qīn,~khâm,1,
䃣,䃣,huǐ,~huỷ,1,
䃤,䃤,sù,túc,1,
䃥,䃥,chuáng,~choàng,1,
䃦,䃦,dūn,~đôn,1,
䃧,䃧,lóng,~lung,1,
䃩,䃩,náo,~nao,1,
䃪,䃪,tán,đàn,1,
䃫,䃫,dǎn,đảm,1,
䃬,䃬,wěi,~vỡ,1,
䃭,䃭,gǎn,cảm,1,
䃮,鿎,dá,đạt,1,
䃯,䃯,lì,lịch,1,
䃰,䃰,cā,~xát,1,
䃱,䃱,xiàn,~hãm,1,
䃲,䃲,pán,bàn,1,
䃳,䃳,là,~lạp,1,
䃴,䃴,zhū,~cho,1,
䃵,䃵,niǎo,~điểu,1,
䃶,䃶,huái,hoài,1,
䃷,䃷,yíng,~doanh,1,
䃸,䃸,xiàn,~hãm,1,
䃹,䃹,làn,lạn,1,
䃺,䃺,mó,ma,1,
䃻,䃻,bà,bá,1,
䃽,䃽,guǐ,~quỷ,1,
䃾,䃾,bǐ,~bỉ,1,
䃿,䃿,fū,phu,1,
䄀,䄀,huò,hoạ,1,
䄁,䄁,yì,~dịch,1,
䄂,䄂,liù,~lựu,1,
䄃,䄃,yāng,ương,1,
䄄,䄄,yīn,~nhân,1,
䄅,䄅,juàn,quyến,1,
䄆,䄆,huó,hoạt,1,
䄇,䄇,chéng,~trình,1,
䄈,䄈,dòu,~đậu,1,
䄉,䄉,é,nga,1,
䄋,䄋,yǎn,~yểm,1,
䄌,䄌,zhuì,~chuế,1,
䄍,䄍,zhà,~trá,1,
䄎,䄎,qǐ,~khải,1,
䄏,䄏,yú,~du,1,
䄐,䄐,quàn,~khuyến,1,
䄑,䄑,huó,hoạt,1,
䄒,䄒,niè,~nghiệt,1,
䄓,䄓,huáng,~hoàng,1,
䄔,䄔,jǔ,~cử,1,
䄕,䄕,shè,xã,1,
䄖,䄖,yú,du,1,
䄘,䄘,péng,~bằng,1,
䄙,䄙,míng,minh,1,
䄚,䄚,cáo,tào,1,
䄛,䄛,lóu,~lưu,1,
䄜,䄜,lí,~li,1,
䄝,䄝,chuāng,~song,1,
䄟,䄟,cuī,~thôi,1,
䄠,䄠,shàn,~thiện,1,
䄡,䄡,dān,~đam,1,
䄢,䄢,qí,trai,1,
䄤,䄤,lài,lại,1,
䄥,䄥,líng,~linh,1,
䄦,䄦,liǎo,~rẻo,1,
䄧,䄧,réng,~nhưng,1,
䄨,䄨,yú,~du,1,
䄩,䄩,yì,~dịch,1,
䄪,䄪,diǎo,~điểu,1,
䄫,䄫,qǐ,~khỉ,1,
䄬,䄬,yí,~di,1,
䄭,䄭,nián,niên,1,
䄮,䄮,fū,phu,1,
䄯,䄯,jiǎn,~kiễng,1,
䄰,䄰,yá,nha,1,
䄱,䄱,fāng,~phương,1,
䄲,䄲,ruì,~nhuế,1,
䄶,䄶,bì,~tất,1,
䄷,䄷,shí,thạch,1,
䄸,䄸,pò,~phách,1,
䄹,䄹,nián,niên,1,
䄺,䄺,zhì,~trĩ,1,
䄻,䄻,táo,~đào,1,
䄼,䄼,tiǎn,thiểm,1,
䄽,䄽,tiǎn,tiên,1,
䄾,䄾,rù,~nhọc,1,
䄿,䄿,yì,~dịch,1,
䅀,䅀,liè,liệt,1,
䅁,䅁,àn,~án,1,
䅂,䅂,hé,~hòa,1,
䅃,䅃,qióng,cung,1,
䅄,䅄,lì,~lị,1,
䅅,䅅,guī,~quy,1,
䅆,䅆,zì,chí,1,
䅇,䅇,sù,túc,1,
䅉,䅉,yà,á,1,
䅊,䅊,chá,~tra,1,
䅋,䅋,wǎn,~oản,1,
䅌,䅌,juān,quyên,1,
䅍,䅍,tǐng,đĩnh,1,
䅎,䅎,yǒu,~dửu,1,
䅏,䅏,huì,~uế,1,
䅐,䅐,jiǎn,~ghém,1,
䅑,䅑,ruí,~nhuy,1,
䅒,䅒,máng,mang,1,
䅓,䅓,jǔ,~cử,1,
䅔,䅔,zī,~tư,1,
䅕,䅕,jū,cư,1,
䅖,䅖,ān,am,1,
䅗,䅗,suì,~tuệ,1,
䅘,䅘,lái,lai,1,
䅙,䅙,hùn,~hỗn,1,
䅚,䅚,quǎn,~cuộn,1,
䅛,䅛,chāng,~xương,1,
䅜,䅜,duò,đoạ,1,
䅝,䅝,kōng,hung,1,
䅞,䅞,nè,~nọi,1,
䅟,䅟,cǎn,~sam,1,
䅠,䅠,tí,~đề,1,
䅡,䅡,xǔ,thuỷ,1,
䅢,䅢,jiù,~cữu,1,
䅣,䅣,huáng,hoàng,1,
䅤,䅤,qì,~khí,1,
䅥,䅥,jié,~cặp,1,
䅦,䅦,máo,~mao,1,
䅧,䅧,yān,~yên,1,
䅨,䅨,xū,hương,1,
䅩,䅩,zhǐ,chỉ,1,
䅪,䅪,tuí,đồi,1,
䅬,䅬,ài,~ái,1,
䅭,䅭,páng,bàng,1,
䅮,䅮,càng,sáng,1,
䅯,䅯,táng,đường,1,
䅰,䅰,ěn,~ân,1,
䅱,䅱,hùn,~hỗn,1,
䅲,䅲,qí,kì,1,
䅳,䅳,chú,~trù,1,
䅴,䅴,suǒ,~tỏa,1,
䅵,䅵,zhuó,~chước,1,
䅶,䅶,nòu,~nậu,1,
䅷,䅷,tú,~đồ,1,
䅸,䅸,shēn,~sâm,1,
䅹,䅹,lǒu,~lâu,1,
䅺,䅺,biāo,~tiêu,1,
䅻,䅻,lí,~li,1,
䅼,䅼,mán,~man,1,
䅽,䅽,xīn,~tăm,1,
䅾,䅾,cén,thầm,1,
䅿,䅿,huáng,hoa,1,
䆀,䆀,měi,mỗi,1,
䆁,䆁,gāo,cao,1,
䆂,䆂,lián,liêm,1,
䆃,䆃,dào,~đạo,1,
䆄,䆄,zhǎn,~triển,1,
䆅,䆅,zī,~tư,1,
䆈,䆈,zhì,~trĩ,1,
䆉,䆉,bà,bãi,1,
䆊,䆊,cuì,~tụy,1,
䆋,䆋,qiū,thu,1,
䆍,䆍,lóng,~lung,1,
䆎,䆎,xiān,tiêm,1,
䆏,䆏,fèi,~phí,1,
䆐,䆐,guó,~quốc,1,
䆑,䆑,chéng,~thành,1,
䆒,䆒,jiù,~cứu,1,
䆓,䆓,è,~ngạc,1,
䆔,䆔,chōng,~sung,1,
䆕,䆕,yuè,~dược,1,
䆖,䆖,hóng,hoành,1,
䆗,䆗,yǎo,~yểu,1,
䆘,䆘,yā,~nha,1,
䆙,䆙,yáo,~diêu,1,
䆚,䆚,tóng,đồng,1,
䆛,䆛,zhà,~trá,1,
䆜,䆜,yòu,~dứu,1,
䆝,䆝,xuè,~huyết,1,
䆞,䆞,yǎo,~yểu,1,
䆟,䆟,kè,~khắc,1,
䆠,䆠,huàn,hoạn,1,
䆡,䆡,láng,~lang,1,
䆢,䆢,yuè,~dược,1,
䆣,䆣,chén,thần,1,
䆤,䆤,qióng,quỳnh,1,
䆥,䆥,suì,toại,1,
䆦,䆦,shèn,sâm,1,
䆧,䆧,kuò,khuếch,1,
䆨,䆨,níng,~trữ,1,
䆩,䆩,míng,minh,1,
䆪,䆪,hōng,hung,1,
䆫,䆫,chuāng,~song,1,
䆬,䆬,yǔn,~vẫn,1,
䆭,䆭,xuān,khiên,1,
䆮,䆮,jìn,~tấn,1,
䆯,䆯,zhuó,~trác,1,
䆰,䆰,yū,~u,1,
䆱,䆱,tān,~than,1,
䆲,䆲,kāng,khuông,1,
䆳,䆳,qióng,~cung,1,
䆵,䆵,chéng,~thành,1,
䆶,䆶,jiū,~cứu,1,
䆷,䆷,xuè,~huyết,1,
䆸,䆸,zhēng,~tranh,1,
䆹,䆹,chōng,~sung,1,
䆺,䆺,pān,phan,1,
䆻,䆻,qiào,khíu,1,
䆼,䆼,kē,oa,1,
䆽,䆽,qú,cù,1,
䆾,䆾,lán,lam,1,
䆿,䆿,yì,~dịch,1,
䇀,䇀,róng,~nhung,1,
䇁,䇁,sī,~tư,1,
䇂,䇂,qiān,khiên,1,
䇃,䇃,sì,~sĩ,1,
䇄,䇄,qì,ngật / ngất,2,
䇅,䇅,fá,~phạt,1,
䇆,䇆,shǒu,thủ,1,
䇇,䇇,méng,manh,1,
䇈,䇈,huà,~thoại,1,
䇉,䇉,lì,lập,1,
䇋,䇋,hài,hợi,1,
䇌,䇌,qiào,tiếu,1,
䇍,䇍,chù,~súc,1,
䇎,䇎,què,~xác,1,
䇏,䇏,duì,~đỗi,1,
䇐,䇐,lì,lị,1,
䇑,䇑,bà,bãi,1,
䇒,䇒,jiè,giới,1,
䇓,䇓,xū,~tu,1,
䇔,䇔,luò,loa,1,
䇕,䇕,shàn,thiện,1,
䇖,䇖,yǔn,~vẫn,1,
䇗,䇗,zhōng,~chung,1,
䇘,䇘,hù,hộ,1,
䇙,䇙,yǐn,~dẫn,1,
䇚,䇚,pū,~phộc,1,
䇛,䇛,zhǐ,chỉ,1,
䇜,䇜,qiǎn,~khay,1,
䇝,䇝,jiān,tiêm,1,
䇞,䇞,gān,~cần,1,
䇟,䇟,jiàn,kiến,1,
䇠,䇠,zhù,trữ,1,
䇡,䇡,zhù,trữ,1,
䇢,䇢,kǔ,~khổ,1,
䇣,䇣,niè,~niếp,1,
䇤,䇤,ruì,~nhuế,1,
䇥,䇥,zé,trách,1,
䇦,䇦,ǎng,~ương,1,
䇧,䇧,zhì,~chí,1,
䇨,䇨,gòng,cống,1,
䇩,䇩,yì,~dịch,1,
䇪,䇪,chī,~si,1,
䇫,䇫,jī,~kê,1,
䇬,䇬,zhū,~chư,1,
䇭,䇭,lǎo,lỗ,1,
䇮,䇮,rèn,sậy,1,
䇯,䇯,róng,~nhung,1,
䇰,䇰,zhēng,~tranh,1,
䇱,䇱,nà,~nắp,1,
䇲,䇲,cè,sách,1,
䇳,䇳,jiān,~tiêm,1,
䇵,䇵,yí,~di,1,
䇶,䇶,jué,~quyết,1,
䇷,䇷,bié,tất,1,
䇸,䇸,chéng,~trình,1,
䇹,䇹,jùn,~tuấn,1,
䇺,䇺,dòu,~đậu,1,
䇻,䇻,wěi,vỉ,1,
䇼,䇼,yì,~dịch,1,
䇽,䇽,zhé,~trích,1,
䇾,䇾,yán,~nghiêm,1,
䈀,䈀,sān,san,1,
䈁,䈁,lún,lân,1,
䈂,䈂,píng,bình,1,
䈃,䈃,zhǎo,~trảo,1,
䈄,䈄,hán,hàm,1,
䈅,䈅,yù,vực,1,
䈆,䈆,dài,đại,1,
䈇,䈇,zhào,tráo,1,
䈈,䈈,féi,phì,1,
䈉,䈉,shà,~tiệp,1,
䈊,䈊,líng,~linh,1,
䈋,䈋,tà,~đạp,1,
䈌,䈌,qū,~khúc,1,
䈍,䈍,máng,~măng,1,
䈎,䈎,yè,~diệp,1,
䈏,䈏,báo,bạc,1,
䈐,䈐,guì,~kế,1,
䈑,䈑,guǎ,quả,1,
䈒,䈒,nǎn,~nam,1,
䈓,䈓,gé,cát,1,
䈔,䈔,jiǎ,giá,1,
䈕,䈕,shí,thì,1,
䈖,䈖,kē,khoa,1,
䈗,䈗,suǒ,tỏa,1,
䈘,䈘,cí,~từ,1,
䈙,䈙,zhòu,~trứu,1,
䈚,䈚,tái,~đài,1,
䈛,䈛,kuài,~khoái,1,
䈜,䈜,qìn,~khấm,1,
䈝,䈝,xū,~tu,1,
䈞,䈞,dǔ,~đốc,1,
䈟,䈟,cè,~sách,1,
䈠,䈠,huǎn,hoán,1,
䈡,䈡,cōng,~thông,1,
䈢,䈢,sǎi,~tôi,1,
䈣,䈣,zhèng,chứng,1,
䈤,䈤,qián,kiềm,1,
䈥,䈥,jīn,~gân,1,
䈦,䈦,zōng,~tông,1,
䈧,䈧,wěi,~vỉ,1,
䈪,䈪,xì,~khích,1,
䈫,䈫,nà,nắp,1,
䈬,䈬,pú,bồ,1,
䈭,䈭,sōu,~sưu,1,
䈮,䈮,jù,cứ,1,
䈯,䈯,zhēn,~chăm,1,
䈰,䈰,shāo,~sao,1,
䈱,䈱,tāo,thao,1,
䈲,䈲,bān,bàn,1,
䈳,䈳,tà,đạp,1,
䈴,䈴,qiàn,khiếm,1,
䈵,䈵,wēng,~ung,1,
䈶,䈶,róng,~nhung,1,
䈷,䈷,luò,~lạc,1,
䈸,䈸,hú,hộc,1,
䈹,䈹,sǒu,~tẩu,1,
䈺,䈺,zhōng,~chung,1,
䈻,䈻,pú,bồ,1,
䈼,䈼,miè,~miệt,1,
䈽,䈽,jīn,~gân,1,
䈾,䈾,shāo,~sao,1,
䈿,䈿,mì,~mịch,1,
䉀,䉀,shù,thú,1,
䉁,䉁,líng,~linh,1,
䉂,䉂,lěi,~lũy,1,
䉃,䉃,jiǎng,tưởng,1,
䉄,䉄,léng,~lăng,1,
䉅,䉅,zhì,~chí,1,
䉆,䉆,diǎo,~điểu,1,
䉈,䉈,sǎn,tản,1,
䉉,䉉,gū,cô,1,
䉊,䉊,fàn,~phạm,1,
䉋,䉋,mèi,mị,1,
䉌,䉌,suì,~địch,1,
䉍,䉍,jiǎn,~giản,1,
䉎,䉎,táng,đường,1,
䉏,䉏,xiè,~xá,1,
䉐,䉐,kū,phu,1,
䉑,䉑,wú,~ngô,1,
䉒,䉒,fán,~phiền,1,
䉓,䉓,luò,~lạc,1,
䉔,䉔,cān,~xan,1,
䉕,䉕,céng,tằng,1,
䉖,䉖,líng,~linh,1,
䉗,䉗,yī,~y,1,
䉘,䉘,cóng,~tùng,1,
䉙,䉙,yún,~vân,1,
䉚,䉚,méng,~mông,1,
䉛,䉛,yù,~vực,1,
䉜,䉜,zhì,~trĩ,1,
䉝,䉝,yǐ,~nghĩ,1,
䉞,䉞,dǎn,~đảm,1,
䉟,䉟,huò,hoạch,1,
䉠,䉠,wéi,mi,1,
䉡,䉡,tán,~đàm,1,
䉢,䉢,sè,~sắc,1,
䉣,䉣,xiè,xá,1,
䉤,䉤,sǒu,tẩu,1,
䉥,䉥,sǒng,tùng,1,
䉦,䉦,qiān,thiên,1,
䉧,䉧,liú,lưu,1,
䉨,䉨,yì,~dịch,1,
䉩,䉩,yán,nghiêm,1,
䉪,䉪,lèi,~lệ,1,
䉫,䉫,lí,lê,1,
䉬,䉬,fèi,~phí,1,
䉭,䉭,liè,~liệt,1,
䉮,䉮,lìn,~lận,1,
䉯,䉯,xiàn,~hãm,1,
䉰,䉰,xiào,~tiếu,1,
䉱,䉱,ōu,âu,1,
䉲,䉲,mí,ni,1,
䉳,䉳,xiān,tiên,1,
䉴,䉴,ráng,~nhương,1,
䉵,䉵,zhuàn,~soạn,1,
䉶,䉶,shuāng,~sương,1,
䉷,䉷,yán,~nghiêm,1,
䉸,䉸,biàn,biện,1,
䉹,䉹,líng,~linh,1,
䉺,䉺,hóng,hồng,1,
䉻,䉻,qí,kì,1,
䉼,䉼,liào,liệu,1,
䉽,䉽,bǎn,~bản,1,
䉾,䉾,bì,bí,1,
䉿,䉿,hú,hồ,1,
䊀,䊀,hú,hồ,1,
䊁,䊁,cāo,thao,1,
䊂,䊂,cè,sách,1,
䊃,䊃,pèi,~bí,1,
䊄,䊄,qióng,cung,1,
䊅,䊅,míng,minh,1,
䊆,䊆,jiù,~cữu,1,
䊇,䊇,bù,~bộ,1,
䊈,䊈,méi,~môi,1,
䊉,䊉,sǎn,thẩm,1,
䊊,䊊,wèi,mị,1,
䊋,䊋,mǐng,mính,1,
䊍,䊍,lí,~li,1,
䊎,䊎,quǎn,~cuộn,1,
䊏,䊏,chū,sơ,1,
䊐,䊐,hún,~hồn,1,
䊑,䊑,xiǎng,~hưởng,1,
䊒,䊒,què,xác,1,
䊓,䊓,shì,thị,1,
䊔,䊔,yíng,~doanh,1,
䊕,䊕,héng,hàng,1,
䊖,䊖,nǎn,~nam,1,
䊗,䊗,huáng,hoàng,1,
䊘,䊘,jiù,~cữu,1,
䊙,䊙,yān,~yên,1,
䊚,䊚,chàng,sướng,1,
䊛,䊛,sà,sát,1,
䊜,䊜,tuán,~đoàn,1,
䊝,䊝,xiè,tiết,1,
䊞,䊞,zhé,~hào,1,
䊟,䊟,mén,môn,1,
䊠,䊠,xì,~hí,1,
䊡,䊡,mán,môn,1,
䊢,䊢,jiāng,tương,1,
䊣,䊣,huáng,hoàng,1,
䊤,䊤,tán,đàm,1,
䊥,䊥,xiào,khiếu,1,
䊦,䊦,yè,~diệp,1,
䊧,䊧,bì,~bí,1,
䊨,䊨,luó,la,1,
䊩,䊩,fán,~phiền,1,
䊪,䊪,lì,lệ,1,
䊫,䊫,cuǐ,~dồi,1,
䊬,䊬,chuā,~sái,1,
䊭,䊭,dào,~đạo,1,
䊮,䊮,dí,địch,1,
䊯,䊯,kuàng,~khoảng,1,
䊰,䊰,chú,~trù,1,
䊱,䊱,xiān,tiêm,1,
䊲,䊲,chàn,~sám,1,
䊳,䊳,mí,mi,1,
䊴,䊴,qiàn,~khiếm,1,
䊵,䊵,qiú,cầu,1,
䊶,䊶,zhèn,~chẩn,1,
䊷,䌶,zhì,chỉ / chài,2,
䊸,䊸,yū,u,1,
䊹,䊹,xiān,tiêm,1,
䊺,䊺,hù,hộ,1,
䊻,䊻,gān,~can,1,
䊼,䊼,chǐ,~suy,1,
䊽,䊽,guài,quái,1,
䊾,䊾,mù,mục,1,
䊿,䊿,bó,phu,1,
䋀,䋀,huà,~hoạch,1,
䋁,䋁,gěng,~cảnh,1,
䋂,䋂,yáo,~diêu,1,
䋃,䋃,mào,~mạo,1,
䋄,䋄,wǎng,~võng,1,
䋈,䋈,rú,~như,1,
䋉,䋉,xué,quyết,1,
䋊,䋊,zhēng,~chưng,1,
䋋,䋋,mín,~mân,1,
䋌,䋌,jiǎng,~tưởng,1,
䋍,䋍,hù,hỗ,1,
䋎,䋎,zhàn,~triển,1,
䋏,䋏,zuó,tạc,1,
䋐,䋐,yuè,~dược,1,
䋑,䋑,liè,~liệt,1,
䋒,䋒,róng,nhung,1,
䋓,䋓,zhòu,~sô,1,
䋔,䋔,bì,~tất,1,
䋕,䋕,rèn,~nhâm,1,
䋖,䋖,yù,luột,1,
䋗,䋗,zhàn,triển,1,
䋘,䋘,chuò,~xước,1,
䋙,䌺,ěr,~nhĩ,1,
䋚,䌻,yì,~ải,1,
䋛,䋛,mǐ,mễ,1,
䋜,䋜,qìng,khánh,1,
䋝,䋝,yīng,~anh,1,
